Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120085,KL ,"Agr, Cons, Env Sci ",Graduate ,275,120,155,0,156,15,8,9,0,87,0,115,160,83,192
120085,KL ,"Agr, Cons, Env Sci ",Undergraduate ,309,142,167,0,222,36,22,18,0,6,5,296,13,135,174
120085,KM ,Business ,Graduate ,500,307,191,2,147,38,9,10,0,264,32,202,298,57,443
120085,KM ,Business ,Undergraduate ,513,282,231,0,259,96,36,40,2,76,4,393,120,180,333
120085,KN ,Education ,Graduate ,318,89,229,0,156,11,61,26,4,54,6,204,114,195,123
120085,KN ,Education ,Undergraduate ,77,4,73,0,59,6,7,3,0,1,1,75,2,25,52
120085,KP ,Engineering ,Graduate ,1109,904,205,0,332,86,14,20,0,648,9,169,940,321,788
120085,KP ,Engineering ,Undergraduate ,750,631,118,1,366,166,34,42,4,125,13,518,232,354,396
120085,KR ,Fine & Applied Arts ,Graduate ,277,122,155,0,161,13,13,7,1,73,9,110,167,155,122
120085,KR ,Fine & Applied Arts ,Undergraduate ,195,94,101,0,126,25,10,17,1,11,5,167,28,88,107
120085,KS ,Graduate College ,Graduate ,44,19,25,0,25,1,10,5,0,0,3,38,6,11,33
120085,KT ,Media ,Graduate ,40,16,24,0,20,1,5,7,0,7,0,17,23,20,20
120085,KT ,Media ,Undergraduate ,122,34,88,0,76,11,24,6,0,4,1,108,14,71,51
120085,KU ,Law ,Graduate ,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
120085,KU ,Law ,Professional ,89,48,41,0,46,6,14,5,1,7,10,47,42,68,21
120085,KV ,Liberal Arts & Sci ,Graduate ,1182,643,539,0,587,82,46,56,4,392,15,219,963,327,855
120085,KV ,Liberal Arts & Sci ,Undergraduate ,2440,1227,1210,3,1250,383,379,227,3,138,60,2177,263,1068,1372
120085,KW ,General Studies ,Undergraduate ,67,44,23,0,28,7,18,5,0,5,4,52,15,20,47
120085,KY ,Applied Health Sci ,Graduate ,151,27,124,0,111,4,17,6,0,11,2,106,45,89,62
120085,KY ,Applied Health Sci ,Undergraduate ,383,156,227,0,246,23,77,27,2,4,4,347,36,130,253
120085,LC ,Veterinary Medicine ,Graduate ,26,7,19,0,15,0,2,1,0,8,0,12,14,9,17
120085,LC ,Veterinary Medicine ,Professional ,107,21,86,0,73,3,2,2,1,1,25,92,15,6,101
120085,LE ,Institute of Aviation ,Graduate ,2,2,0,0,1,0,0,0,0,1,0,1,1,2,0
120085,LE ,Institute of Aviation ,Undergraduate ,80,71,9,0,64,5,2,8,0,0,1,78,2,54,26
120085,LG ,Labor & Industrial Relns ,Graduate ,10,2,8,0,1,2,0,0,0,7,0,2,8,8,2
120085,LL ,School of Social Work ,Graduate ,208,23,185,0,153,11,27,10,0,4,3,197,11,22,186
120085,LN ,Continuing Education ,Graduate ,51,17,34,0,40,2,4,1,0,0,4,1,50,41,10
120085,LP ,Library & Info Sci ,Graduate ,172,42,130,0,131,10,3,7,1,15,5,118,54,67,105
120085,NB ,Provost & VC Acad Affairs ,Undergraduate ,128,35,93,0,39,13,33,36,2,1,4,55,73,95,33
