Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120081,KL ,"Agr, Cons, Env Sci ",Graduate ,463,214,249,0,240,24,15,15,0,166,3,180,283,24,439
120081,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2247,979,1264,4,1805,172,83,104,2,48,33,2160,87,39,2208
120081,KM ,Business ,Graduate ,950,590,356,4,385,78,22,17,0,399,49,482,468,18,932
120081,KM ,Business ,Undergraduate ,2681,1554,1123,4,1634,394,157,221,8,224,43,2297,384,59,2622
120081,KN ,Education ,Graduate ,786,235,551,0,379,39,119,48,6,185,10,472,314,202,584
120081,KN ,Education ,Undergraduate ,628,40,587,1,509,30,26,43,4,6,10,619,9,1,627
120081,KP ,Engineering ,Graduate ,2201,1821,379,1,738,175,25,39,0,1207,17,391,1810,57,2144
120081,KP ,Engineering ,Undergraduate ,4674,3945,723,6,3018,818,92,178,8,470,90,3673,1001,156,4518
120081,KR ,Fine & Applied Arts ,Graduate ,840,398,442,0,491,43,22,33,2,229,20,317,523,75,765
120081,KR ,Fine & Applied Arts ,Undergraduate ,1813,855,958,0,1349,173,61,108,6,80,36,1607,206,44,1769
120081,KS ,Graduate College ,Graduate ,2,1,1,0,0,1,1,0,0,0,0,1,1,1,1
120081,KT ,Communications ,Graduate ,102,44,58,0,45,5,8,8,0,35,1,33,69,11,91
120081,KT ,Communications ,Undergraduate ,902,261,641,0,683,63,68,51,3,21,13,846,56,9,893
120081,KU ,Law ,Graduate ,51,22,29,0,0,0,1,0,0,50,0,3,48,0,51
120081,KU ,Law ,Professional ,567,337,230,0,322,72,44,32,3,19,75,384,183,23,544
120081,KV ,Liberal Arts & Sci ,Graduate ,2531,1303,1228,0,1262,157,74,101,6,905,26,511,2020,80,2451
120081,KV ,Liberal Arts & Sci ,Undergraduate ,13919,6747,7155,17,8595,1951,1198,1143,40,666,326,12757,1162,283,13636
120081,KW ,General Studies ,Undergraduate ,262,144,117,1,165,31,20,22,1,14,9,236,26,2,260
120081,KY ,Applied Health Sci ,Graduate ,267,75,192,0,169,10,30,8,0,47,3,163,104,24,243
120081,KY ,Applied Health Sci ,Undergraduate ,1809,597,1210,2,1299,134,186,127,13,22,28,1704,105,29,1780
120081,LC ,Veterinary Medicine ,Graduate ,65,25,40,0,30,2,2,3,0,26,2,20,45,6,59
120081,LC ,Veterinary Medicine ,Professional ,424,86,338,0,284,18,2,5,2,3,110,357,67,3,421
120081,LE ,Institute of Aviation ,Graduate ,10,8,2,0,4,0,0,1,0,5,0,3,7,0,10
120081,LE ,Institute of Aviation ,Undergraduate ,202,185,17,0,172,8,5,11,0,1,5,189,13,8,194
120081,LG ,Labor & Industrial Relns ,Graduate ,143,47,96,0,80,10,12,4,1,33,3,94,49,5,138
120081,LL ,School of Social Work ,Graduate ,244,28,216,0,158,15,34,15,1,16,5,218,26,8,236
120081,LN ,Continuing Education ,Graduate ,74,21,53,0,53,8,6,3,0,0,4,0,74,67,7
120081,LN ,Continuing Education ,Undergraduate ,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
120081,LP ,Library & Info Sci ,Graduate ,261,72,189,0,182,17,10,6,1,37,8,167,94,30,231
120081,NB ,Provost & VC Acad Affairs ,Undergraduate ,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
