Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,Illinois,Non-Illinois,Part time,Full time
120135,KL ,"Agr, Cons, Env Sci ",Graduate ,372,182,190,0,210,24,7,15,0,0,3,112,1,9,1,143,229,169,203
120135,KL ,"Agr, Cons, Env Sci ",Undergraduate ,454,205,249,0,292,44,27,32,0,0,10,44,5,30,4,386,68,249,205
120135,KM ,Business ,Graduate ,586,296,289,1,128,52,28,11,0,0,1,360,6,30,1,198,388,160,426
120135,KM ,Business ,Undergraduate ,511,278,233,0,253,87,24,28,0,0,11,105,3,28,3,348,163,234,277
120135,KN ,Education ,Graduate ,440,111,329,0,251,26,74,33,2,0,15,31,8,89,7,291,149,254,186
120135,KN ,Education ,Undergraduate ,59,6,53,0,48,2,4,4,0,0,0,1,0,4,0,57,2,31,28
120135,KP ,Engineering ,Graduate ,1338,1037,301,0,337,68,11,39,2,0,16,858,7,16,7,176,1162,453,885
120135,KP ,Engineering ,Undergraduate ,1319,1084,235,0,444,252,37,55,1,3,24,497,6,38,6,636,683,666,653
120135,KR ,Fine & Applied Arts ,Graduate ,186,95,91,0,99,7,10,11,1,0,7,49,2,16,6,84,102,89,97
120135,KR ,Fine & Applied Arts ,Undergraduate ,209,99,110,0,114,20,16,20,2,0,1,36,0,17,4,157,52,105,104
120135,KS ,Graduate College ,Graduate ,32,11,21,0,24,2,0,1,0,0,0,3,2,0,0,25,7,27,5
120135,KT ,Media ,Graduate ,30,12,18,0,6,3,3,3,0,0,2,10,3,5,2,7,23,13,17
120135,KT ,Media ,Undergraduate ,223,56,166,1,158,14,16,10,0,0,5,20,0,18,3,187,36,122,101
120135,KU ,Law ,Graduate ,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1
120135,KU ,Law ,Professional ,97,56,41,0,40,10,11,12,0,0,4,17,3,14,2,43,54,93,4
120135,KV ,Liberal Arts & Sci ,Graduate ,1214,627,587,0,546,87,27,68,6,1,20,443,16,33,15,185,1029,496,718
120135,KV ,Liberal Arts & Sci ,Undergraduate ,2432,1275,1156,1,1173,383,233,199,3,5,66,351,19,264,28,1876,556,1144,1288
120135,KW ,General Studies ,Undergraduate ,353,226,127,0,165,53,46,45,0,1,12,30,1,53,0,273,80,166,187
120135,KY ,Applied Health Sci ,Graduate ,96,22,74,0,55,5,12,7,0,0,1,14,2,15,0,63,33,32,64
120135,KY ,Applied Health Sci ,Undergraduate ,504,199,305,0,291,48,85,49,0,0,18,10,3,93,2,452,52,189,315
120135,LC ,Veterinary Medicine ,Graduate ,28,18,10,0,21,1,0,2,0,0,0,4,0,0,0,10,18,15,13
120135,LC ,Veterinary Medicine ,Professional ,123,20,103,0,102,8,1,8,0,0,2,0,2,1,1,99,24,1,122
120135,LE ,Institute of Aviation ,Undergraduate ,25,21,4,0,18,3,2,2,0,0,0,0,0,2,0,24,1,11,14
120135,LG ,Labor & Empl. Rel. ,Graduate ,6,3,3,0,2,1,0,0,0,0,0,3,0,0,0,2,4,5,1
120135,LL ,School of Social Work ,Graduate ,192,24,168,0,130,8,21,20,0,0,4,7,2,23,1,167,25,27,165
120135,LL ,School of Social Work ,Undergraduate ,24,3,21,0,14,1,5,3,0,1,0,0,0,5,0,23,1,5,19
120135,LN ,Online & Continuing Education ,Graduate ,87,19,68,0,53,4,6,4,0,0,0,0,20,6,0,2,85,70,17
120135,LN ,Online & Continuing Education ,Undergraduate ,51,23,27,1,20,8,5,4,1,0,0,0,13,5,2,0,51,43,8
120135,LP ,Library & Info Sci ,Graduate ,148,34,114,0,117,4,8,8,0,0,3,7,1,9,1,99,49,77,71
120135,NB ,Provost & VC Acad Affairs ,Undergraduate ,60,22,37,1,15,7,17,19,0,0,2,0,0,19,0,24,36,52,8
