Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120075,KL ,"Agr, Cons, Env Sci ",Graduate ,269,103,166,0,148,20,8,10,0,83,0,103,166,74,195
120075,KL ,"Agr, Cons, Env Sci ",Undergraduate ,324,150,174,0,224,30,34,23,0,9,4,308,16,183,141
120075,KM ,Business ,Graduate ,442,279,160,3,110,31,9,3,1,236,52,171,271,49,393
120075,KM ,Business ,Undergraduate ,563,320,243,0,328,83,32,39,0,69,12,459,104,209,354
120075,KN ,Education ,Graduate ,337,97,240,0,176,15,60,24,4,52,6,217,120,213,124
120075,KN ,Education ,Undergraduate ,110,8,101,1,81,10,7,8,1,0,3,108,2,35,75
120075,KP ,Engineering ,Graduate ,1201,993,208,0,388,79,13,30,1,681,9,171,1030,414,787
120075,KP ,Engineering ,Undergraduate ,703,574,129,0,368,134,28,29,0,131,13,495,208,361,342
120075,KR ,Fine & Applied Arts ,Graduate ,267,134,133,0,167,9,10,8,0,65,8,110,157,130,137
120075,KR ,Fine & Applied Arts ,Undergraduate ,212,99,113,0,157,20,9,13,1,10,2,194,18,87,125
120075,KS ,Graduate College ,Graduate ,36,19,17,0,16,2,5,1,0,1,11,31,5,28,8
120075,KT ,Communications ,Graduate ,40,15,25,0,22,0,5,5,0,8,0,13,27,11,29
120075,KT ,Communications ,Undergraduate ,113,37,76,0,72,6,20,7,1,5,2,100,13,59,54
120075,KU ,Law ,Professional ,71,44,27,0,22,7,9,11,0,7,15,46,25,35,36
120075,KV ,Liberal Arts & Sci ,Graduate ,1252,704,548,0,601,79,38,57,5,461,11,212,1040,379,873
120075,KV ,Liberal Arts & Sci ,Undergraduate ,2505,1275,1224,6,1321,386,380,212,12,137,57,2235,270,1072,1433
120075,KY ,Applied Health Sci ,Graduate ,120,20,100,0,84,5,15,3,0,12,1,83,37,57,63
120075,KY ,Applied Health Sci ,Undergraduate ,381,173,207,1,246,26,72,24,2,5,6,347,34,135,246
120075,LC ,Veterinary Medicine ,Graduate ,26,8,18,0,14,0,1,2,0,9,0,9,17,12,14
120075,LC ,Veterinary Medicine ,Professional ,97,19,78,0,79,6,0,1,0,1,10,87,10,1,96
120075,LE ,Institute of Aviation ,Graduate ,2,2,0,0,1,0,0,0,0,1,0,1,1,0,2
120075,LE ,Institute of Aviation ,Undergraduate ,87,79,8,0,79,1,3,3,0,0,1,79,8,63,24
120075,LG ,Labor & Industrial Relns ,Graduate ,4,0,4,0,0,0,0,0,0,4,0,0,4,4,0
120075,LL ,School of Social Work ,Graduate ,189,18,171,0,135,11,24,11,1,3,4,178,11,19,170
120075,LN ,Continuing Education ,Graduate ,41,10,31,0,29,6,0,1,0,0,5,1,40,33,8
120075,LP ,Library & Info Sci ,Graduate ,163,42,121,0,126,8,7,2,1,10,9,117,46,68,95
120075,NB ,Provost & VC Acad Affairs ,Undergraduate ,100,29,71,0,36,7,22,29,1,1,4,42,58,72,28
