Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
120181,KL ,"Agr, Cons, Env Sci ",Graduate ,653,280,373,0,352,21,14,30,0,0,8,218,10,15,4,0,27,226,427,127,526
120181,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2503,1063,1438,2,1517,231,173,289,3,1,65,218,6,205,23,6,281,2136,367,104,2399
120181,KM ,Business ,Graduate ,2414,1450,962,2,988,382,114,142,1,1,26,581,179,135,17,1,490,748,1666,420,1994
120181,KM ,Business ,Undergraduate ,2853,1537,1314,2,1388,550,96,249,1,1,65,491,12,119,15,7,601,2068,785,86,2767
120181,KN ,Education ,Graduate ,839,248,591,0,446,53,138,70,0,1,20,97,14,162,12,1,62,500,339,200,639
120181,KN ,Education ,Undergraduate ,609,68,541,0,382,49,40,96,1,1,14,25,1,52,6,2,56,574,35,10,599
120181,KP ,Engineering ,Graduate ,3839,3016,823,0,864,413,39,117,2,1,56,2221,126,53,18,8,559,485,3354,529,3310
120181,KP ,Engineering ,Undergraduate ,7200,5611,1588,1,2704,1788,108,458,3,3,234,1679,223,157,44,21,1996,3964,3236,599,6601
120181,KR ,Fine & Applied Arts ,Graduate ,765,355,410,0,349,45,24,45,2,0,13,285,2,33,7,1,56,202,563,92,673
120181,KR ,Fine & Applied Arts ,Undergraduate ,1598,695,903,0,791,183,109,207,0,2,55,243,8,138,24,13,221,1212,386,81,1517
120181,KS ,Graduate College ,Graduate ,64,42,22,0,28,4,1,1,0,0,1,24,5,2,0,0,5,29,35,25,39
120181,KT ,Media ,Graduate ,98,25,73,0,36,4,10,6,0,0,2,39,1,10,2,0,7,33,65,3,95
120181,KT ,Media ,Undergraduate ,1015,346,669,0,611,98,78,103,1,1,33,85,5,88,9,4,120,872,143,61,954
120181,KU ,Law ,Graduate ,71,33,38,0,3,0,2,1,0,0,0,65,0,2,0,0,0,5,66,0,71
120181,KU ,Law ,Professional ,439,264,175,0,262,45,21,27,0,0,10,44,30,25,4,0,53,258,181,4,435
120181,KV ,Liberal Arts & Sci ,Graduate ,2414,1216,1198,0,903,137,45,164,1,1,64,1079,20,80,19,8,190,327,2087,127,2287
120181,KV ,Liberal Arts & Sci ,Undergraduate ,11443,5834,5598,11,4813,2218,728,1353,6,8,353,1920,44,882,100,64,2508,8562,2881,536,10907
120181,KW ,General Studies ,Undergraduate ,2342,1414,928,0,879,357,261,421,1,1,68,346,8,296,33,12,415,1906,436,4,2338
120181,KY ,Applied Health Sci ,Graduate ,307,92,214,1,180,17,20,17,1,0,9,59,4,23,3,1,24,160,147,44,263
120181,KY ,Applied Health Sci ,Undergraduate ,2015,635,1380,0,1083,285,245,298,0,2,63,34,5,293,15,10,332,1856,159,70,1945
120181,LC ,Veterinary Medicine ,Graduate ,72,21,51,0,44,4,1,2,0,0,2,18,1,2,1,0,6,20,52,9,63
120181,LC ,Veterinary Medicine ,Professional ,536,72,464,0,449,24,5,31,0,0,13,3,11,8,3,0,35,307,229,11,525
120181,LG ,Labor & Empl. Rel. ,Graduate ,200,67,133,0,81,20,26,10,0,0,3,56,4,29,1,0,21,113,87,7,193
120181,LL ,School of Social Work ,Graduate ,274,40,234,0,187,11,37,21,0,0,6,12,0,41,0,0,15,241,33,4,270
120181,LL ,School of Social Work ,Undergraduate ,262,39,223,0,152,20,23,54,0,0,10,2,1,30,5,0,24,248,14,6,256
120181,LN ,Center Innov in Teach Learn ,Graduate ,210,86,118,6,137,20,8,12,0,0,3,4,26,8,0,1,29,7,203,191,19
120181,LN ,Center Innov in Teach Learn ,Undergraduate ,18,14,4,0,7,0,2,2,0,0,1,0,6,3,1,0,1,0,18,18,0
120181,LP ,School of Information Sciences ,Graduate ,759,215,542,2,455,22,26,29,0,0,19,200,8,33,8,2,34,388,371,170,589
120181,NB ,Provost & VC Acad Affairs ,Undergraduate ,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
