Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120095,KL ,"Agr, Cons, Env Sci ",Graduate ,300,132,168,0,168,17,9,7,0,97,2,119,181,102,198
120095,KL ,"Agr, Cons, Env Sci ",Undergraduate ,269,104,165,0,193,25,20,18,0,7,6,258,11,134,135
120095,KM ,Business ,Graduate ,515,292,220,3,145,40,15,7,0,297,11,175,340,43,472
120095,KM ,Business ,Undergraduate ,512,306,206,0,278,89,41,37,1,55,11,423,89,154,358
120095,KN ,Education ,Graduate ,341,95,246,0,165,20,58,30,3,57,8,206,135,197,144
120095,KN ,Education ,Undergraduate ,41,5,36,0,27,3,4,5,0,0,2,40,1,21,20
120095,KP ,Engineering ,Graduate ,1191,983,208,0,394,80,15,22,0,669,11,199,992,357,834
120095,KP ,Engineering ,Undergraduate ,761,604,155,2,356,134,40,49,4,160,18,524,237,334,427
120095,KR ,Fine & Applied Arts ,Graduate ,231,111,120,0,132,12,8,10,2,60,7,89,142,123,108
120095,KR ,Fine & Applied Arts ,Undergraduate ,173,73,100,0,119,17,12,16,0,5,4,149,24,69,104
120095,KS ,Graduate College ,Graduate ,3,1,1,1,1,0,1,1,0,0,0,3,0,3,0
120095,KT ,Media ,Graduate ,41,13,28,0,14,3,4,8,0,11,1,16,25,18,23
120095,KT ,Media ,Undergraduate ,120,39,81,0,76,13,14,9,0,4,4,106,14,55,65
120095,KU ,Law ,Graduate ,2,1,1,0,0,0,0,0,0,2,0,0,2,0,2
120095,KU ,Law ,Professional ,85,53,32,0,39,4,14,6,3,13,6,45,40,81,4
120095,KV ,Liberal Arts & Sci ,Graduate ,1235,671,564,0,615,84,45,55,6,410,20,220,1015,386,849
120095,KV ,Liberal Arts & Sci ,Undergraduate ,2276,1206,1065,5,1131,375,345,207,8,144,66,2021,255,992,1284
120095,KW ,General Studies ,Undergraduate ,148,94,54,0,63,20,34,14,0,11,6,113,35,65,83
120095,KY ,Applied Health Sci ,Graduate ,146,27,119,0,113,5,12,2,1,10,3,98,48,73,73
120095,KY ,Applied Health Sci ,Undergraduate ,344,142,201,1,205,23,76,28,2,5,5,299,45,111,233
120095,LC ,Veterinary Medicine ,Graduate ,34,11,23,0,14,3,2,3,0,12,0,15,19,18,16
120095,LC ,Veterinary Medicine ,Professional ,107,23,84,0,68,8,0,0,1,1,29,86,21,0,107
120095,LE ,Institute of Aviation ,Graduate ,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
120095,LE ,Institute of Aviation ,Undergraduate ,67,63,4,0,51,7,1,7,0,1,0,61,6,39,28
120095,LG ,Labor & Empl. Rel. ,Graduate ,13,3,10,0,2,2,0,0,0,9,0,5,8,13,0
120095,LL ,School of Social Work ,Graduate ,215,31,184,0,150,11,27,8,1,7,11,197,18,27,188
120095,LN ,Continuing Education ,Graduate ,38,6,32,0,30,1,4,0,0,0,3,1,37,33,5
120095,LP ,Library & Info Sci ,Graduate ,166,43,122,1,118,11,8,5,1,14,9,102,64,74,92
120095,NB ,Provost & VC Acad Affairs ,Undergraduate ,73,30,43,0,33,7,16,16,0,0,1,36,37,60,13
