Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
120165,KL ,"Agr, Cons, Env Sci ",Graduate ,379,151,228,0,201,15,6,21,0,0,7,121,8,9,1,0,21,128,251,123,256
120165,KL ,"Agr, Cons, Env Sci ",Undergraduate ,501,215,286,0,297,47,38,38,0,1,19,59,2,52,5,2,56,402,99,282,219
120165,KM ,Business ,Graduate ,510,245,265,0,115,43,20,16,0,0,0,309,7,21,3,0,44,183,327,115,395
120165,KM ,Business ,Undergraduate ,617,316,301,0,278,112,22,50,0,1,11,141,2,25,8,1,119,386,231,348,269
120165,KN ,Education ,Graduate ,398,115,283,0,246,15,61,36,3,1,11,22,3,78,9,1,18,268,130,200,198
120165,KN ,Education ,Undergraduate ,89,3,86,0,60,6,3,14,0,0,2,4,0,3,1,0,8,83,6,52,37
120165,KP ,Engineering ,Graduate ,1464,1145,319,0,303,80,15,44,1,0,15,999,7,18,6,0,96,163,1301,572,892
120165,KP ,Engineering ,Undergraduate ,1420,1115,305,0,503,274,22,71,1,0,39,505,5,34,5,3,303,691,729,808,612
120165,KR ,Fine & Applied Arts ,Graduate ,195,91,104,0,96,13,4,11,1,0,1,67,2,5,2,1,16,66,129,101,94
120165,KR ,Fine & Applied Arts ,Undergraduate ,187,76,111,0,95,16,8,16,0,0,9,42,1,11,1,1,23,127,60,111,76
120165,KS ,Graduate College ,Graduate ,27,20,7,0,12,4,2,1,0,0,1,7,0,2,0,0,5,18,9,18,9
120165,KT ,Media ,Graduate ,22,6,16,0,3,0,4,2,0,0,2,11,0,5,2,0,1,6,16,11,11
120165,KT ,Media ,Undergraduate ,165,62,103,0,103,18,8,12,0,0,7,17,0,10,2,0,23,131,34,97,68
120165,KU ,Law ,Graduate ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
120165,KU ,Law ,Professional ,76,38,38,0,26,6,7,6,0,0,1,24,6,7,0,1,7,27,49,75,1
120165,KV ,Liberal Arts & Sci ,Graduate ,1215,634,581,0,482,86,37,85,3,1,30,481,10,53,19,4,111,159,1056,403,812
120165,KV ,Liberal Arts & Sci ,Undergraduate ,2375,1265,1110,0,1008,430,169,189,2,1,67,501,8,200,14,8,482,1658,717,1201,1174
120165,KW ,General Studies ,Undergraduate ,340,207,133,0,147,67,34,40,0,0,6,46,0,40,4,1,72,251,89,158,182
120165,KY ,Applied Health Sci ,Graduate ,141,26,115,0,90,11,10,11,0,0,2,15,2,10,1,1,14,87,54,51,90
120165,KY ,Applied Health Sci ,Undergraduate ,440,164,276,0,247,47,64,44,0,1,24,12,1,80,5,4,63,373,67,171,269
120165,LC ,Veterinary Medicine ,Graduate ,25,9,16,0,12,4,0,1,0,0,0,7,1,0,0,0,5,10,15,10,15
120165,LC ,Veterinary Medicine ,Professional ,122,16,106,0,99,4,0,2,1,0,1,1,14,0,1,0,5,94,28,0,122
120165,LG ,Labor & Empl. Rel. ,Graduate ,8,2,6,0,1,0,0,0,0,0,0,6,1,0,0,0,0,2,6,7,1
120165,LL ,School of Social Work ,Graduate ,179,21,158,0,116,7,29,18,0,1,5,3,0,32,1,2,10,165,14,20,159
120165,LL ,School of Social Work ,Undergraduate ,32,4,28,0,23,1,2,4,0,0,2,0,0,5,0,0,1,30,2,18,14
120165,LN ,Center Innov in Teach Learn ,Graduate ,45,15,28,2,34,3,1,3,0,0,0,0,4,1,0,0,4,3,42,39,6
120165,LN ,Center Innov in Teach Learn ,Undergraduate ,30,14,14,2,13,6,3,2,0,0,0,0,6,3,0,0,6,1,29,26,4
120165,LP ,School of Information Sciences ,Graduate ,90,26,64,0,68,2,6,8,0,0,0,5,1,9,1,0,2,62,28,34,56
120165,NB ,Provost & VC Acad Affairs ,Undergraduate ,121,57,64,0,44,13,18,29,0,0,5,1,11,20,2,0,20,42,79,105,16
