Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,Illinois,Non-Illinois,Part time,Full time
120141,KL ,"Agr, Cons, Env Sci ",Graduate ,521,257,264,0,264,28,8,28,1,0,5,185,2,12,3,186,335,32,489
120141,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2691,1211,1480,0,1818,233,129,223,1,3,68,206,10,161,31,2340,351,134,2557
120141,KM ,Business ,Graduate ,1196,667,527,2,387,115,58,26,0,0,6,598,6,58,5,523,673,12,1184
120141,KM ,Business ,Undergraduate ,2775,1510,1265,0,1464,433,99,193,0,5,51,516,14,115,12,2051,724,80,2695
120141,KN ,Education ,Graduate ,585,183,402,0,256,37,114,52,2,0,12,107,5,133,9,350,235,108,477
120141,KN ,Education ,Undergraduate ,560,54,506,0,430,38,17,43,0,2,10,19,1,20,3,533,27,6,554
120141,KP ,Engineering ,Graduate ,2715,2124,591,0,733,195,20,74,3,0,30,1644,16,27,14,426,2289,74,2641
120141,KP ,Engineering ,Undergraduate ,6791,5714,1076,1,3025,1365,96,333,5,11,178,1744,34,120,32,3925,2866,338,6453
120141,KR ,Fine & Applied Arts ,Graduate ,771,377,394,0,388,33,18,38,2,0,12,267,13,28,11,259,512,84,687
120141,KR ,Fine & Applied Arts ,Undergraduate ,1462,653,809,0,832,156,70,114,2,2,40,235,11,87,16,1107,355,77,1385
120141,KS ,Graduate College ,Graduate ,65,41,24,0,43,9,2,2,0,1,1,7,0,2,0,42,23,40,25
120141,KT ,Media ,Graduate ,78,24,54,0,16,4,6,7,0,0,3,39,3,9,5,20,58,9,69
120141,KT ,Media ,Undergraduate ,1063,336,726,1,686,88,77,82,0,1,35,85,9,89,7,906,157,51,1012
120141,KU ,Law ,Graduate ,127,38,89,0,0,1,0,1,0,0,0,125,0,0,0,1,126,0,127
120141,KU ,Law ,Professional ,530,295,235,0,301,51,46,61,0,1,12,39,19,54,9,318,212,6,524
120141,KV ,Liberal Arts & Sci ,Graduate ,2465,1250,1215,0,1126,164,34,109,6,3,42,952,29,51,23,423,2042,75,2390
120141,KV ,Liberal Arts & Sci ,Undergraduate ,10972,5692,5276,4,5551,1720,750,997,5,17,259,1607,66,858,83,8733,2239,494,10478
120141,KW ,General Studies ,Undergraduate ,2368,1393,975,0,1142,365,177,306,2,2,67,294,13,214,28,1949,419,3,2365
120141,KY ,Applied Health Sci ,Graduate ,263,80,183,0,159,9,27,12,0,0,5,48,3,30,2,156,107,10,253
120141,KY ,Applied Health Sci ,Undergraduate ,2052,667,1385,0,1256,244,226,227,0,2,64,27,6,268,18,1939,113,40,2012
120141,LC ,Veterinary Medicine ,Graduate ,63,24,39,0,41,4,0,4,0,0,0,14,0,0,0,22,41,9,54
120141,LC ,Veterinary Medicine ,Professional ,486,85,400,1,361,15,5,13,1,0,3,1,87,5,2,385,101,0,486
120141,LE ,Institute of Aviation ,Undergraduate ,24,20,4,0,19,3,1,1,0,0,0,0,0,1,0,22,2,4,20
120141,LG ,Labor & Empl. Rel. ,Graduate ,170,52,117,1,70,18,14,6,1,1,4,55,1,14,1,94,76,1,169
120141,LL ,School of Social Work ,Graduate ,209,28,181,0,142,10,24,16,0,0,3,13,1,28,0,177,32,9,200
120141,LL ,School of Social Work ,Undergraduate ,154,17,137,0,96,9,20,21,0,1,5,1,1,24,2,150,4,4,150
120141,LN ,Center Innov in Teach Learn ,Graduate ,73,23,50,0,48,9,5,7,0,0,1,0,3,5,1,3,70,61,12
120141,LP ,Library & Info Sci ,Graduate ,276,71,205,0,200,11,16,18,0,1,6,22,2,20,3,171,105,31,245
