Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,Illinois,Non-Illinois,Part time,Full time
120111,KL ,"Agr, Cons, Env Sci ",Graduate ,536,279,257,0,272,28,11,10,0,0,6,206,3,12,1,187,349,21,515
120111,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2279,987,1291,1,1709,142,95,127,3,3,33,151,16,106,14,2078,201,89,2190
120111,KM ,Business ,Graduate ,1039,594,444,1,379,110,34,11,0,0,9,470,26,36,3,472,567,10,1029
120111,KM ,Business ,Undergraduate ,2728,1564,1163,1,1552,445,113,190,2,1,32,374,19,122,6,2161,567,44,2684
120111,KN ,Education ,Graduate ,711,228,483,0,345,39,111,56,3,0,10,141,6,122,11,434,277,141,570
120111,KN ,Education ,Undergraduate ,650,38,611,1,519,50,22,37,0,1,11,8,2,24,1,627,23,12,638
120111,KP ,Engineering ,Graduate ,2383,1953,429,1,756,172,15,51,1,0,18,1350,20,20,5,453,1930,68,2315
120111,KP ,Engineering ,Undergraduate ,5740,4803,932,5,3089,891,95,218,6,9,113,1274,45,105,26,3760,1980,191,5549
120111,KR ,Fine & Applied Arts ,Graduate ,804,395,409,0,461,33,21,39,0,0,17,229,4,27,10,296,508,84,720
120111,KR ,Fine & Applied Arts ,Undergraduate ,1716,777,939,0,1147,169,75,121,2,2,37,142,21,84,8,1438,278,59,1657
120111,KS ,Graduate College ,Graduate ,19,9,10,0,12,1,1,3,0,0,1,0,1,1,1,17,2,16,3
120111,KT ,Media ,Graduate ,79,30,49,0,26,3,4,7,0,0,4,34,1,8,2,27,52,7,72
120111,KT ,Media ,Undergraduate ,1063,345,718,0,692,91,93,74,1,2,23,79,8,101,5,916,147,23,1040
120111,KU ,Law ,Graduate ,97,31,66,0,0,2,0,0,0,0,0,94,1,0,0,1,96,0,97
120111,KU ,Law ,Professional ,632,370,262,0,429,59,39,41,4,1,14,23,22,42,8,354,278,3,629
120111,KV ,Liberal Arts & Sci ,Graduate ,2493,1278,1215,0,1186,160,60,106,4,3,32,902,40,70,21,495,1998,54,2439
120111,KV ,Liberal Arts & Sci ,Undergraduate ,11118,5494,5615,9,6457,1600,776,876,14,17,208,1074,96,866,88,9642,1476,279,10839
120111,KW ,General Studies ,Undergraduate ,2445,1331,1113,1,1436,324,189,228,4,6,46,197,15,206,13,2163,282,4,2441
120111,KY ,Applied Health Sci ,Graduate ,261,86,175,0,169,6,18,9,0,0,4,52,3,22,2,162,99,6,255
120111,KY ,Applied Health Sci ,Undergraduate ,1905,629,1273,3,1298,155,193,166,7,3,41,28,14,205,20,1796,109,33,1872
120111,LC ,Veterinary Medicine ,Graduate ,64,20,44,0,39,3,2,3,0,0,1,15,1,2,0,20,44,7,57
120111,LC ,Veterinary Medicine ,Professional ,477,94,381,2,404,17,3,26,0,0,7,2,18,6,1,390,87,3,474
120111,LE ,Institute of Aviation ,Graduate ,4,1,3,0,2,0,0,0,0,0,0,2,0,0,0,1,3,0,4
120111,LE ,Institute of Aviation ,Undergraduate ,130,120,10,0,94,12,7,9,0,0,2,4,2,7,1,113,17,8,122
120111,LG ,Labor & Empl. Rel. ,Graduate ,135,43,92,0,56,11,11,3,0,0,2,50,2,11,0,65,70,3,132
120111,LL ,School of Social Work ,Graduate ,253,28,225,0,184,10,26,13,0,0,3,15,2,30,2,225,28,12,241
120111,LL ,School of Social Work ,Undergraduate ,51,7,44,0,33,3,7,4,0,0,3,1,0,8,1,49,2,4,47
120111,LN ,Online & Continuing Education ,Graduate ,108,36,72,0,82,8,4,4,1,0,1,0,8,5,1,1,107,93,15
120111,LN ,Online & Continuing Education ,Undergraduate ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
120111,LP ,Library & Info Sci ,Graduate ,306,87,219,0,223,15,22,15,0,0,7,20,4,24,1,193,113,29,277
120111,NB ,Provost & VC Acad Affairs ,Undergraduate ,12,4,7,1,0,0,0,0,0,0,0,0,12,0,0,0,12,12,0
