Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,Part time,Full time
120215,KL ,"Agr, Cons, Env Sci ",Graduate ,408,151,256,1,188,12,9,33,0,0,10,153,3,11,4,0,20,44,135,273,166,242
120215,KL ,"Agr, Cons, Env Sci ",Undergraduate ,452,184,268,0,227,36,52,93,0,0,9,35,0,60,4,0,43,150,387,65,235,217
120215,KM ,Business ,Graduate ,5241,3299,1924,18,2230,927,218,345,4,14,86,321,1096,268,44,27,988,632,1408,3833,2072,3169
120215,KM ,Business ,Undergraduate ,529,288,241,0,198,114,32,58,0,1,13,103,10,36,7,2,128,93,376,153,267,262
120215,KN ,Education ,Graduate ,740,193,544,3,435,53,95,84,0,1,14,24,34,117,11,2,60,192,379,361,405,335
120215,KN ,Education ,Undergraduate ,73,4,69,0,42,7,10,13,0,0,1,0,0,12,2,0,9,24,69,4,39,34
120215,KP ,Grainger Engineering ,Graduate ,2612,2033,568,11,565,346,35,107,0,1,35,1036,487,46,17,3,375,154,268,2344,1386,1226
120215,KP ,Grainger Engineering ,Undergraduate ,1367,1041,326,0,366,407,28,106,0,1,48,386,25,41,7,5,450,149,666,701,941,426
120215,KR ,Fine & Applied Arts ,Graduate ,198,79,119,0,112,7,4,14,0,0,5,55,1,6,3,0,9,21,71,127,100,98
120215,KR ,Fine & Applied Arts ,Undergraduate ,226,94,131,1,102,27,22,32,0,1,14,26,2,31,1,1,38,61,180,46,115,111
120215,KS ,Graduate College ,Graduate ,4,2,2,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,1,3,1,3
120215,KT ,Media ,Graduate ,104,28,76,0,45,4,16,6,0,0,6,20,7,18,2,1,7,26,36,68,29,75
120215,KT ,Media ,Undergraduate ,137,65,72,0,68,16,22,14,0,0,5,12,0,25,2,1,19,39,115,22,60,77
120215,KU ,Law ,Graduate ,4,1,3,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,3,4,0
120215,KU ,Law ,Professional ,58,27,31,0,24,5,5,7,0,0,1,15,1,6,0,0,5,13,26,32,41,17
120215,KV ,Liberal Arts & Sci ,Graduate ,1453,710,743,0,572,80,46,142,0,0,31,574,8,67,17,1,108,199,185,1268,491,962
120215,KV ,Liberal Arts & Sci ,Undergraduate ,2486,1263,1223,0,834,455,236,339,0,1,93,487,41,295,31,16,526,622,1785,701,1215,1271
120215,KW ,General Studies ,Undergraduate ,378,222,156,0,104,59,65,57,0,0,16,76,1,76,5,5,69,131,266,112,200,178
120215,KY ,Applied Health Sci ,Graduate ,189,57,132,0,109,12,18,18,0,0,5,27,0,19,4,1,16,38,113,76,100,89
120215,KY ,Applied Health Sci ,Undergraduate ,473,186,287,0,216,64,94,69,0,0,18,12,0,110,7,4,76,174,420,53,176,297
120215,LC ,Veterinary Medicine ,Graduate ,42,19,23,0,18,0,2,1,0,0,0,19,2,3,1,0,0,3,9,33,13,29
120215,LC ,Veterinary Medicine ,Professional ,132,16,116,0,112,4,0,12,1,0,2,1,0,1,3,0,4,15,82,50,5,127
120215,LG ,Labor & Empl. Rel. ,Graduate ,120,31,88,1,53,13,15,16,0,0,2,15,6,17,1,0,15,32,57,63,25,95
120215,LL ,School of Social Work ,Graduate ,403,63,339,1,261,17,50,59,0,0,14,1,1,66,5,1,22,121,364,39,40,363
120215,LL ,School of Social Work ,Undergraduate ,50,3,47,0,23,0,13,9,0,0,2,2,1,13,0,1,3,23,48,2,11,39
120215,LN ,Center Innov in Teach Learn ,Graduate ,158,60,97,1,90,14,7,13,0,2,6,4,22,9,1,3,21,23,9,149,132,26
120215,LN ,Center Innov in Teach Learn ,Undergraduate ,158,64,94,0,42,14,21,21,0,0,7,1,52,23,2,0,18,45,0,158,139,19
120215,LP ,School of Information Sciences ,Graduate ,361,99,258,4,239,15,19,25,0,0,8,51,4,21,5,1,20,48,222,139,224,137
120215,LP ,School of Information Sciences ,Undergraduate ,31,20,11,0,7,12,2,2,0,0,1,6,1,2,0,0,13,4,22,9,18,13
120215,LT ,Carle Illinois Medicine ,Professional ,154,85,69,0,57,63,6,7,1,0,12,0,8,8,6,3,71,22,26,128,7,147
120215,NB ,Provost & VC Acad Affairs ,Undergraduate ,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
