Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120065,KL ,"Agr, Cons, Env Sci ",Graduate ,230,93,137,0,146,12,3,6,0,63,0,89,141,62,168
120065,KL ,"Agr, Cons, Env Sci ",Undergraduate ,307,131,176,0,232,31,15,16,0,8,5,289,18,174,133
120065,KM ,Business ,Graduate ,399,230,168,1,102,40,10,4,0,206,37,136,263,40,359
120065,KM ,Business ,Undergraduate ,572,356,216,0,333,94,26,25,0,86,8,441,131,211,361
120065,KN ,Education ,Graduate ,315,87,227,1,168,18,45,28,4,43,9,214,101,196,119
120065,KN ,Education ,Undergraduate ,116,12,104,0,89,14,8,5,0,0,0,110,6,27,89
120065,KP ,Engineering ,Graduate ,1102,897,205,0,406,114,15,19,3,542,3,172,930,298,804
120065,KP ,Engineering ,Undergraduate ,741,620,119,2,369,182,26,33,1,113,17,504,237,400,341
120065,KR ,Fine & Applied Arts ,Graduate ,258,118,140,0,171,9,7,6,0,60,5,107,151,116,142
120065,KR ,Fine & Applied Arts ,Undergraduate ,217,94,123,0,153,27,11,12,0,10,4,194,23,126,91
120065,KS ,Graduate College ,Graduate ,13,3,10,0,9,1,1,1,0,0,1,11,2,11,2
120065,KT ,Communications ,Graduate ,38,16,22,0,21,0,5,6,0,6,0,20,18,19,19
120065,KT ,Communications ,Undergraduate ,126,40,86,0,75,12,16,13,1,5,4,116,10,65,61
120065,KU ,Law ,Graduate ,2,1,1,0,0,0,1,0,0,1,0,1,1,2,0
120065,KU ,Law ,Professional ,84,57,27,0,45,12,8,9,2,3,5,55,29,46,38
120065,KV ,Liberal Arts & Sci ,Graduate ,1249,699,550,0,611,103,38,40,4,444,9,212,1037,335,914
120065,KV ,Liberal Arts & Sci ,Undergraduate ,2459,1239,1216,4,1282,388,370,215,14,132,58,2180,279,1171,1288
120065,KY ,Applied Life Studies ,Graduate ,118,22,96,0,83,7,12,4,0,12,0,79,39,61,57
120065,KY ,Applied Life Studies ,Undergraduate ,331,145,186,0,198,16,82,25,2,5,3,296,35,120,211
120065,LC ,Veterinary Medicine ,Graduate ,20,7,13,0,9,1,1,1,0,7,1,6,14,7,13
120065,LC ,Veterinary Medicine ,Professional ,99,24,75,0,89,3,0,3,0,0,4,91,8,2,97
120065,LE ,Institute of Aviation ,Graduate ,2,2,0,0,2,0,0,0,0,0,0,1,1,0,2
120065,LE ,Institute of Aviation ,Undergraduate ,90,79,11,0,80,1,1,6,0,0,2,83,7,47,43
120065,LG ,Labor & Industrial Relns ,Graduate ,9,2,7,0,1,0,0,0,0,8,0,1,8,8,1
120065,LL ,School of Social Work ,Graduate ,198,14,184,0,145,6,29,13,0,2,3,182,16,20,178
120065,LN ,Continuing Education ,Graduate ,44,13,31,0,37,0,0,4,0,0,3,6,38,33,11
120065,LP ,Library & Info Sci ,Graduate ,152,46,106,0,113,11,6,4,0,9,9,112,40,73,79
120065,NB ,Provost & VC Acad Affairs ,Undergraduate ,118,58,60,0,50,17,17,31,1,0,2,61,57,91,27
