Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,Illinois,Non-Illinois,Part time,Full time
120115,KL ,"Agr, Cons, Env Sci ",Graduate ,347,179,168,0,184,18,7,7,1,0,4,124,2,8,1,129,218,110,237
120115,KL ,"Agr, Cons, Env Sci ",Undergraduate ,277,111,166,0,188,23,19,14,1,0,2,28,2,21,2,239,38,129,148
120115,KM ,Business ,Graduate ,608,308,298,2,134,41,15,6,0,0,4,394,14,17,1,185,423,71,537
120115,KM ,Business ,Undergraduate ,444,242,202,0,212,83,16,24,0,0,3,103,3,18,0,296,148,168,276
120115,KN ,Education ,Graduate ,272,75,197,0,136,9,51,34,1,0,4,35,2,58,3,171,101,179,93
120115,KN ,Education ,Undergraduate ,57,1,55,1,47,3,2,3,0,0,1,1,0,2,1,53,4,28,29
120115,KP ,Engineering ,Graduate ,1239,1000,238,1,382,65,9,29,1,0,15,729,9,12,6,204,1035,368,871
120115,KP ,Engineering ,Undergraduate ,918,758,160,0,350,144,21,32,0,1,21,341,8,22,2,470,448,446,472
120115,KR ,Fine & Applied Arts ,Graduate ,171,81,90,0,111,7,7,7,1,0,5,30,3,11,4,80,91,92,79
120115,KR ,Fine & Applied Arts ,Undergraduate ,137,64,73,0,96,11,10,4,0,0,4,11,1,12,2,114,23,64,73
120115,KS ,Graduate College ,Graduate ,8,4,4,0,7,0,0,0,0,0,0,0,1,0,0,7,1,4,4
120115,KT ,Media ,Graduate ,42,18,24,0,17,1,4,5,0,0,3,12,0,7,1,18,24,19,23
120115,KT ,Media ,Undergraduate ,108,40,68,0,49,12,21,10,0,0,2,14,0,21,0,85,23,58,50
120115,KU ,Law ,Graduate ,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1
120115,KU ,Law ,Professional ,81,50,31,0,48,6,6,4,2,0,4,9,2,6,4,33,48,74,7
120115,KV ,Liberal Arts & Sci ,Graduate ,1200,660,540,0,566,85,30,66,3,1,18,408,23,37,11,206,994,322,878
120115,KV ,Liberal Arts & Sci ,Undergraduate ,1878,1007,868,3,931,272,228,160,1,1,41,219,25,249,20,1555,323,758,1120
120115,KW ,General Studies ,Undergraduate ,196,120,76,0,102,23,30,13,0,0,4,22,2,32,0,146,50,74,122
120115,KY ,Applied Health Sci ,Graduate ,146,32,114,0,113,3,9,2,0,0,3,13,3,11,1,107,39,85,61
120115,KY ,Applied Health Sci ,Undergraduate ,391,134,256,1,231,35,70,38,2,1,5,6,3,72,3,349,42,142,249
120115,LC ,Veterinary Medicine ,Graduate ,32,12,20,0,18,4,0,2,0,0,0,8,0,0,0,13,19,16,16
120115,LC ,Veterinary Medicine ,Professional ,124,24,100,0,103,5,2,7,0,0,2,1,4,4,0,99,25,1,123
120115,LE ,Institute of Aviation ,Graduate ,3,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,3
120115,LE ,Institute of Aviation ,Undergraduate ,50,47,3,0,38,4,0,5,0,0,0,2,1,0,0,43,7,25,25
120115,LG ,Labor & Empl. Rel. ,Graduate ,20,7,13,0,1,0,2,0,0,0,0,17,0,2,0,2,18,18,2
120115,LL ,School of Social Work ,Graduate ,241,28,212,1,175,11,22,16,1,0,6,7,3,26,3,217,24,28,213
120115,LL ,School of Social Work ,Undergraduate ,14,2,12,0,9,1,2,2,0,0,0,0,0,2,0,14,0,8,6
120115,LN ,Online & Continuing Education ,Graduate ,28,8,20,0,22,1,2,2,0,0,0,0,1,2,0,1,27,22,6
120115,LP ,Library & Info Sci ,Graduate ,157,38,119,0,119,10,7,2,0,0,5,11,3,7,3,100,57,76,81
120115,NB ,Provost & VC Acad Affairs ,Undergraduate ,67,37,30,0,24,12,22,5,1,0,2,0,1,23,1,27,40,52,15
