Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120091,KL ,"Agr, Cons, Env Sci ",Graduate ,461,204,257,0,231,19,12,13,0,184,2,163,298,22,439
120091,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2241,960,1279,2,1782,159,90,109,3,62,36,2124,117,50,2191
120091,KM ,Business ,Graduate ,973,589,379,5,370,105,24,28,0,422,24,474,499,14,959
120091,KM ,Business ,Undergraduate ,2876,1666,1208,2,1710,465,157,215,9,269,51,2424,452,61,2815
120091,KN ,Education ,Graduate ,761,244,517,0,362,40,116,51,7,169,16,456,305,197,564
120091,KN ,Education ,Undergraduate ,652,45,606,1,517,44,25,44,2,5,15,634,18,3,649
120091,KP ,Engineering ,Graduate ,2245,1849,396,0,754,152,27,43,0,1250,19,427,1818,73,2172
120091,KP ,Engineering ,Undergraduate ,4989,4168,814,7,3040,803,112,196,12,739,87,3716,1273,154,4835
120091,KR ,Fine & Applied Arts ,Graduate ,828,394,434,0,483,48,21,37,3,215,21,305,523,75,753
120091,KR ,Fine & Applied Arts ,Undergraduate ,1872,890,982,0,1337,190,69,122,9,105,40,1626,246,58,1814
120091,KS ,Graduate College ,Graduate ,4,1,3,0,0,2,1,0,0,0,1,2,2,3,1
120091,KT ,Media ,Graduate ,95,39,56,0,37,7,10,11,0,29,1,36,59,6,89
120091,KT ,Media ,Undergraduate ,968,280,688,0,701,73,85,60,1,32,16,887,81,15,953
120091,KU ,Law ,Graduate ,48,27,21,0,0,2,0,1,0,45,0,0,48,0,48
120091,KU ,Law ,Professional ,570,317,252,1,325,57,44,37,5,22,80,389,181,14,556
120091,KV ,Liberal Arts & Sci ,Graduate ,2523,1321,1202,0,1268,155,68,99,7,894,32,521,2002,77,2446
120091,KV ,Liberal Arts & Sci ,Undergraduate ,12190,5990,6189,11,7364,1792,1063,975,31,690,275,11062,1128,269,11921
120091,KW ,General Studies ,Undergraduate ,1917,1000,915,2,1097,280,172,141,2,185,40,1635,282,0,1917
120091,KY ,Applied Health Sci ,Graduate ,274,87,187,0,184,12,24,5,1,47,1,172,102,20,254
120091,KY ,Applied Health Sci ,Undergraduate ,1837,627,1207,3,1285,126,210,148,18,18,32,1734,103,28,1809
120091,LC ,Veterinary Medicine ,Graduate ,66,25,41,0,25,4,2,4,0,28,3,19,47,10,56
120091,LC ,Veterinary Medicine ,Professional ,445,90,355,0,290,15,4,7,2,2,125,364,81,3,442
120091,LE ,Institute of Aviation ,Graduate ,12,6,6,0,4,0,0,0,0,8,0,4,8,1,11
120091,LE ,Institute of Aviation ,Undergraduate ,177,162,15,0,141,12,6,15,0,0,3,163,14,4,173
120091,LG ,Labor & Empl. Rel. ,Graduate ,144,46,98,0,80,12,19,6,0,27,0,98,46,5,139
120091,LL ,School of Social Work ,Graduate ,236,29,207,0,164,8,31,7,2,16,8,207,29,10,226
120091,LN ,Continuing Education ,Graduate ,99,36,63,0,67,8,11,2,0,0,11,3,96,88,11
120091,LN ,Continuing Education ,Undergraduate ,2,2,0,0,2,0,0,0,0,0,0,0,2,1,1
120091,LP ,Library & Info Sci ,Graduate ,281,78,202,1,196,21,12,8,1,32,11,174,107,45,236
