Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
120205,KL ,"Agr, Cons, Env Sci ",Graduate ,449,179,270,0,215,18,12,32,0,0,9,157,6,16,5,0,23,159,290,213,236
120205,KL ,"Agr, Cons, Env Sci ",Undergraduate ,558,223,334,1,310,46,56,78,0,0,20,47,1,70,8,3,61,484,74,285,273
120205,KM ,Business ,Graduate ,3490,2303,1180,7,1537,628,148,233,3,5,55,151,730,221,41,12,1089,994,2496,1363,2127
120205,KM ,Business ,Undergraduate ,768,403,365,0,368,156,33,61,0,1,26,116,7,38,3,5,179,573,195,380,388
120205,KN ,Education ,Graduate ,813,212,597,4,466,51,120,70,0,0,18,33,55,139,13,0,76,371,442,399,414
120205,KN ,Education ,Undergraduate ,88,12,76,0,58,5,12,11,0,0,1,1,0,14,2,1,5,84,4,50,38
120205,KP ,Grainger Engineering ,Graduate ,2518,1983,533,2,522,256,35,76,0,0,40,1119,470,53,18,4,682,245,2273,1297,1221
120205,KP ,Grainger Engineering ,Undergraduate ,1695,1263,432,0,570,444,29,110,0,1,60,462,19,44,11,8,498,864,831,1058,637
120205,KR ,Fine & Applied Arts ,Graduate ,323,130,193,0,152,15,14,20,0,0,11,109,2,22,10,0,19,88,235,206,117
120205,KR ,Fine & Applied Arts ,Undergraduate ,311,135,176,0,156,45,19,42,0,0,14,33,2,24,5,2,59,255,56,149,162
120205,KS ,Graduate College ,Graduate ,25,11,14,0,7,1,2,2,0,0,0,13,0,2,0,0,1,9,16,7,18
120205,KT ,Media ,Graduate ,77,22,54,1,19,7,14,8,0,0,3,24,2,15,1,0,11,28,49,13,64
120205,KT ,Media ,Undergraduate ,195,71,124,0,111,18,18,22,0,0,12,13,1,23,4,2,23,174,21,101,94
120205,KU ,Law ,Graduate ,10,4,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,2,8
120205,KU ,Law ,Professional ,72,40,32,0,38,3,3,5,0,0,1,19,3,5,0,0,3,31,41,62,10
120205,KV ,Liberal Arts & Sci ,Graduate ,1605,783,822,0,632,80,47,147,1,1,36,652,9,71,18,4,111,191,1414,622,983
120205,KV ,Liberal Arts & Sci ,Undergraduate ,2976,1512,1462,2,1061,589,255,319,0,0,109,619,24,310,32,13,678,2089,887,1470,1506
120205,KW ,General Studies ,Undergraduate ,459,263,196,0,146,60,58,76,0,0,14,100,5,73,5,4,67,328,131,258,201
120205,KY ,Applied Health Sci ,Graduate ,196,57,139,0,114,10,10,18,0,0,9,34,1,11,5,0,14,109,87,75,121
120205,KY ,Applied Health Sci ,Undergraduate ,540,209,331,0,250,81,103,59,0,2,21,20,4,120,8,5,94,475,65,188,352
120205,LC ,Veterinary Medicine ,Graduate ,51,27,24,0,17,0,1,7,0,0,0,25,1,2,1,0,0,9,42,19,32
120205,LC ,Veterinary Medicine ,Professional ,134,15,119,0,106,4,2,13,0,0,6,1,2,2,1,0,11,82,52,0,134
120205,LG ,Labor & Empl. Rel. ,Graduate ,95,27,68,0,40,7,13,10,0,0,3,17,5,18,2,0,13,44,51,23,72
120205,LL ,School of Social Work ,Graduate ,362,46,315,1,228,14,50,49,0,0,10,7,4,60,6,0,17,335,27,42,320
120205,LL ,School of Social Work ,Undergraduate ,61,9,52,0,30,5,16,8,0,0,1,1,0,17,0,0,6,58,3,19,42
120205,LN ,Center Innov in Teach Learn ,Graduate ,206,64,141,1,119,23,8,14,0,0,4,3,35,12,0,0,31,1,205,163,43
120205,LN ,Center Innov in Teach Learn ,Undergraduate ,292,119,172,1,87,24,15,19,0,0,9,2,136,18,4,0,42,0,292,258,34
120205,LP ,School of Information Sciences ,Graduate ,386,94,289,3,248,9,23,29,1,0,4,69,3,27,4,1,13,218,168,230,156
120205,LP ,School of Information Sciences ,Undergraduate ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
120205,LT ,Carle Illinois Medicine ,Professional ,110,62,48,0,40,40,6,6,1,0,10,0,7,9,5,2,47,18,92,0,110
