Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time
120051,KL ,"Agr, Cons, Env Sci ",Graduate ,493,212,281,0,273,24,7,11,0,174,4,206,287,29,464
120051,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2137,874,1260,3,1810,116,73,71,1,35,31,2053,84,35,2102
120051,KM ,Business ,Graduate ,718,454,264,0,248,82,13,6,1,343,25,286,432,20,698
120051,KM ,Business ,Undergraduate ,2740,1571,1168,1,1805,425,108,149,6,210,37,2352,388,89,2651
120051,KN ,Education ,Graduate ,794,233,561,0,384,30,103,52,5,206,14,480,314,180,614
120051,KN ,Education ,Undergraduate ,697,58,639,0,577,52,29,29,2,2,6,683,14,6,691
120051,KP ,Engineering ,Graduate ,2344,1950,393,1,850,193,26,46,2,1208,19,473,1871,120,2224
120051,KP ,Engineering ,Undergraduate ,4732,4027,704,1,3069,944,80,170,8,378,83,3628,1104,177,4555
120051,KR ,Fine & Applied Arts ,Graduate ,761,350,411,0,465,44,22,26,4,187,13,306,455,73,688
120051,KR ,Fine & Applied Arts ,Undergraduate ,1803,799,1003,1,1387,155,72,80,3,74,32,1574,229,64,1739
120051,KS ,Graduate College ,Graduate ,5,1,4,0,4,0,1,0,0,0,0,5,0,4,1
120051,KT ,Communications ,Graduate ,105,40,65,0,56,4,4,7,1,31,2,35,70,15,90
120051,KT ,Communications ,Undergraduate ,573,166,407,0,410,58,48,37,0,11,9,528,45,10,563
120051,KU ,Law ,Graduate ,35,18,17,0,1,1,0,0,0,33,0,4,31,1,34
120051,KU ,Law ,Professional ,661,385,274,2,395,108,47,50,4,13,44,497,164,48,613
120051,KV ,Liberal Arts & Sci ,Graduate ,2502,1331,1171,0,1186,149,57,84,6,999,21,483,2019,120,2382
120051,KV ,Liberal Arts & Sci ,Undergraduate ,13321,6279,7030,12,8500,1718,1255,1098,49,479,222,12195,1126,333,12988
120051,KY ,Applied Life Studies ,Graduate ,205,58,147,0,125,11,17,6,0,45,1,114,91,17,188
120051,KY ,Applied Life Studies ,Undergraduate ,1513,510,1003,0,1125,63,206,88,6,17,8,1416,97,45,1468
120051,LC ,Veterinary Medicine ,Graduate ,64,29,35,0,31,2,3,3,0,25,0,17,47,11,53
120051,LC ,Veterinary Medicine ,Professional ,399,90,309,0,344,15,2,6,0,2,30,352,47,6,393
120051,LE ,Institute of Aviation ,Graduate ,5,3,2,0,3,1,0,0,0,1,0,3,2,0,5
120051,LE ,Institute of Aviation ,Undergraduate ,235,220,15,0,207,10,5,10,0,1,2,219,16,14,221
120051,LG ,Labor & Industrial Relns ,Graduate ,115,49,66,0,74,8,8,3,0,20,2,71,44,4,111
120051,LL ,School of Social Work ,Graduate ,238,25,213,0,181,1,31,10,1,10,4,209,29,9,229
120051,LN ,Continuing Education ,Graduate ,67,18,49,0,45,9,5,2,1,0,5,9,58,59,8
120051,LN ,Continuing Education ,Undergraduate ,3,1,2,0,2,0,0,1,0,0,0,1,2,3,0
120051,LP ,Library & Info Sci ,Graduate ,240,75,165,0,166,14,10,12,0,35,3,165,75,44,196
