Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
120151,KL ,"Agr, Cons, Env Sci ",Graduate ,556,263,293,0,278,25,9,27,1,0,9,201,6,12,3,0,32,197,359,37,519
120151,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2604,1161,1443,0,1714,242,138,230,1,0,73,200,6,171,29,8,293,2249,355,145,2459
120151,KM ,Business ,Graduate ,1182,650,532,0,366,132,45,39,1,0,12,582,5,48,10,2,138,525,657,12,1170
120151,KM ,Business ,Undergraduate ,2843,1542,1301,0,1431,454,108,202,1,4,54,576,13,124,14,12,494,2040,803,119,2724
120151,KN ,Education ,Graduate ,558,170,388,0,248,34,103,53,2,1,12,100,5,121,8,1,35,340,218,95,463
120151,KN ,Education ,Undergraduate ,559,50,509,0,428,49,11,46,0,1,8,16,0,15,2,2,54,537,22,7,552
120151,KP ,Engineering ,Graduate ,2886,2261,625,0,723,201,25,75,2,1,26,1818,15,32,10,3,227,432,2454,79,2807
120151,KP ,Engineering ,Undergraduate ,6950,5715,1234,1,2993,1489,90,354,5,7,187,1771,54,120,32,27,1658,3920,3030,317,6633
120151,KR ,Fine & Applied Arts ,Graduate ,764,362,402,0,391,30,17,40,2,0,3,271,10,23,9,0,32,231,533,84,680
120151,KR ,Fine & Applied Arts ,Undergraduate ,1418,615,803,0,764,152,72,128,1,2,40,248,11,90,14,6,185,1051,367,62,1356
120151,KS ,Graduate College ,Graduate ,69,44,25,0,39,4,3,1,0,1,2,19,0,4,0,1,5,43,26,32,37
120151,KT ,Media ,Graduate ,71,21,50,0,13,5,5,3,0,0,2,42,1,6,2,0,7,12,59,8,63
120151,KT ,Media ,Undergraduate ,1082,346,736,0,690,93,73,92,0,1,35,92,6,87,11,4,118,920,162,56,1026
120151,KU ,Law ,Graduate ,67,23,44,0,1,1,0,1,0,0,0,64,0,0,0,0,1,2,65,0,67
120151,KU ,Law ,Professional ,509,296,213,0,263,53,40,46,0,1,12,64,30,49,5,3,61,280,229,5,504
120151,KV ,Liberal Arts & Sci ,Graduate ,2403,1205,1198,0,1062,148,40,116,6,4,50,954,23,57,24,8,187,391,2012,63,2340
120151,KV ,Liberal Arts & Sci ,Undergraduate ,11072,5818,5251,3,5175,1897,746,1069,6,13,306,1784,76,876,83,47,2149,8488,2584,536,10536
120151,KW ,General Studies ,Undergraduate ,2207,1299,908,0,1007,351,129,345,1,1,73,287,13,165,27,13,404,1812,395,9,2198
120151,KY ,Applied Health Sci ,Graduate ,257,73,184,0,162,12,22,12,1,0,4,43,1,24,4,0,15,152,105,14,243
120151,KY ,Applied Health Sci ,Undergraduate ,2027,643,1384,0,1208,242,248,228,0,3,58,27,13,288,20,13,277,1903,124,64,1963
120151,LC ,Veterinary Medicine ,Graduate ,69,26,43,0,42,4,0,3,0,0,0,20,0,0,0,0,5,27,42,8,61
120151,LC ,Veterinary Medicine ,Professional ,486,80,405,1,345,10,4,8,1,0,1,1,116,4,1,0,11,372,114,0,486
120151,LG ,Labor & Empl. Rel. ,Graduate ,154,48,106,0,47,17,17,6,2,0,2,62,1,19,2,0,19,77,77,8,146
120151,LL ,School of Social Work ,Graduate ,194,24,170,0,125,9,23,16,0,0,5,15,1,28,0,0,10,159,35,7,187
120151,LL ,School of Social Work ,Undergraduate ,186,22,164,0,116,12,22,29,1,1,4,0,1,30,2,1,14,180,6,4,182
120151,LN ,Center Innov in Teach Learn ,Graduate ,57,15,42,0,42,0,6,4,1,0,1,1,2,7,2,0,0,3,54,52,5
120151,LP ,Library & Info Sci ,Graduate ,267,70,197,0,193,7,13,16,0,0,6,28,4,18,2,2,12,155,112,25,242
