Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,Illinois,Non-Illinois,Part time,Full time
120125,KL ,"Agr, Cons, Env Sci ",Graduate ,331,174,157,0,191,18,5,7,0,0,1,108,1,5,1,128,203,109,222
120125,KL ,"Agr, Cons, Env Sci ",Undergraduate ,397,180,217,0,233,42,32,27,0,1,12,47,3,39,5,331,66,192,205
120125,KM ,Business ,Graduate ,598,310,288,0,139,42,21,10,1,0,7,368,10,23,3,203,395,165,433
120125,KM ,Business ,Undergraduate ,521,261,260,0,245,91,25,33,1,0,5,118,3,26,3,360,161,204,317
120125,KN ,Education ,Graduate ,257,61,196,0,133,14,56,30,1,0,3,17,3,63,3,172,85,175,82
120125,KN ,Education ,Undergraduate ,77,3,74,0,59,7,5,5,0,0,1,0,0,6,0,75,2,35,42
120125,KP ,Engineering ,Graduate ,1217,965,252,0,333,66,10,32,1,0,18,753,4,13,6,185,1032,392,825
120125,KP ,Engineering ,Undergraduate ,1129,941,188,0,432,184,24,38,2,0,18,428,3,24,6,569,560,601,528
120125,KR ,Fine & Applied Arts ,Graduate ,161,80,81,0,102,6,4,8,1,0,5,34,1,6,3,70,91,98,63
120125,KR ,Fine & Applied Arts ,Undergraduate ,222,90,132,0,128,25,18,19,1,0,2,27,2,20,1,176,46,113,109
120125,KS ,Graduate College ,Graduate ,9,3,6,0,3,3,2,0,0,0,0,0,1,2,0,9,0,9,0
120125,KT ,Media ,Graduate ,32,13,19,0,15,1,3,3,0,0,3,7,0,6,1,12,20,11,21
120125,KT ,Media ,Undergraduate ,152,56,96,0,94,11,19,11,1,0,4,12,0,21,2,132,20,71,81
120125,KU ,Law ,Graduate ,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2
120125,KU ,Law ,Professional ,147,69,78,0,72,12,21,23,1,0,3,10,5,23,2,72,75,139,8
120125,KV ,Liberal Arts & Sci ,Graduate ,1135,602,533,0,535,87,29,66,5,2,19,377,15,34,11,193,942,308,827
120125,KV ,Liberal Arts & Sci ,Undergraduate ,2105,1067,1036,2,1039,311,227,159,5,5,38,308,13,252,18,1665,440,959,1146
120125,KW ,General Studies ,Undergraduate ,286,171,115,0,131,35,52,23,0,0,6,39,0,55,1,219,67,115,171
120125,KY ,Applied Health Sci ,Graduate ,160,35,125,0,109,14,13,5,0,0,2,16,1,14,1,119,41,95,65
120125,KY ,Applied Health Sci ,Undergraduate ,448,169,279,0,281,36,71,37,1,0,14,4,4,74,4,407,41,158,290
120125,LC ,Veterinary Medicine ,Graduate ,30,13,17,0,17,3,0,2,0,0,0,8,0,0,0,11,19,16,14
120125,LC ,Veterinary Medicine ,Professional ,119,26,92,1,103,2,0,7,0,0,2,0,5,1,0,97,22,0,119
120125,LE ,Institute of Aviation ,Undergraduate ,33,29,4,0,25,4,2,2,0,0,0,0,0,2,0,30,3,20,13
120125,LG ,Labor & Empl. Rel. ,Graduate ,9,1,8,0,2,0,1,0,0,0,0,6,0,1,0,3,6,9,0
120125,LL ,School of Social Work ,Graduate ,177,30,147,0,123,7,25,12,0,0,5,4,1,29,3,156,21,25,152
120125,LL ,School of Social Work ,Undergraduate ,25,2,23,0,13,1,7,3,0,0,1,0,0,7,1,24,1,10,15
120125,LM ,Provost Academic Programs ,Graduate ,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0
120125,LN ,Online & Continuing Education ,Graduate ,25,7,18,0,20,1,1,1,0,0,0,0,2,1,0,1,24,20,5
120125,LP ,Library & Info Sci ,Graduate ,140,32,108,0,96,6,11,7,0,0,4,10,6,11,2,81,59,73,67
120125,NB ,Provost & VC Acad Affairs ,Undergraduate ,64,26,37,1,20,5,8,24,0,0,7,0,0,13,1,27,37,54,10
