Term/Year Code,Code,Name,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unreported Race,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,URM,Illinois,Non-Illinois,Part time,Full time
120221,KL ,"Agr, Cons, Env Sci ",Graduate ,727,264,458,5,361,35,10,52,0,1,12,239,17,17,4,1,45,68,264,463,194,533
120221,KL ,"Agr, Cons, Env Sci ",Undergraduate ,2693,1180,1511,2,1503,246,169,545,3,1,64,138,24,226,32,12,302,753,2386,307,147,2546
120221,KM ,Business ,Graduate ,6618,4096,2494,28,2551,1119,307,461,6,12,97,1198,867,362,52,32,1194,839,1738,4880,3779,2839
120221,KM ,Business ,Undergraduate ,2990,1722,1266,2,1332,682,115,319,1,1,91,405,44,153,25,15,763,471,2309,681,145,2845
120221,KN ,Education ,Graduate ,1289,363,920,6,699,81,176,130,0,2,29,97,75,210,20,4,96,327,616,673,938,351
120221,KN ,Education ,Undergraduate ,646,68,578,0,391,64,37,118,0,0,21,12,3,44,11,3,80,164,619,27,9,637
120221,KP ,Grainger Engineering ,Graduate ,5019,3859,1143,17,1068,690,59,169,0,3,77,2671,282,81,25,7,756,251,577,4442,1577,3442
120221,KP ,Grainger Engineering ,Undergraduate ,7529,5712,1813,4,2391,2442,103,604,1,4,295,1585,104,162,38,32,2714,787,4101,3428,458,7071
120221,KR ,Fine & Applied Arts ,Graduate ,652,287,364,1,292,38,27,54,0,0,9,232,0,38,6,0,47,84,193,459,62,590
120221,KR ,Fine & Applied Arts ,Undergraduate ,1733,760,971,2,780,259,141,296,0,0,76,165,16,184,28,7,328,470,1401,332,105,1628
120221,KS ,Graduate College ,Graduate ,12,6,6,0,4,0,0,2,0,0,0,5,1,0,1,0,0,2,5,7,9,3
120221,KT ,Media ,Graduate ,148,54,94,0,47,9,15,14,0,0,2,49,12,16,0,0,11,29,46,102,23,125
120221,KT ,Media ,Undergraduate ,899,336,563,0,487,102,84,131,0,0,32,59,4,105,7,4,122,232,785,114,72,827
120221,KU ,Law ,Graduate ,156,80,76,0,3,0,5,0,0,0,1,147,0,6,0,0,0,6,6,150,9,147
120221,KU ,Law ,Professional ,499,256,242,1,274,53,24,48,1,1,14,44,40,30,5,2,63,81,245,254,0,499
120221,KV ,Liberal Arts & Sci ,Graduate ,2455,1230,1224,1,837,149,66,209,1,0,64,1117,12,103,26,4,200,300,301,2154,182,2273
120221,KV ,Liberal Arts & Sci ,Undergraduate ,11718,5756,5952,10,4495,2506,713,1686,4,1,438,1765,110,919,149,46,2885,2560,8858,2860,596,11122
120221,KW ,General Studies ,Undergraduate ,1970,1172,797,1,671,294,238,379,1,3,80,289,15,281,35,13,361,660,1592,378,14,1956
120221,KY ,Applied Health Sci ,Graduate ,394,143,251,0,193,26,36,34,0,0,8,94,3,43,3,2,32,75,189,205,59,335
120221,KY ,Applied Health Sci ,Undergraduate ,2118,704,1414,0,970,337,285,374,1,1,92,45,13,348,25,18,403,709,1960,158,75,2043
120221,LC ,Veterinary Medicine ,Graduate ,136,58,78,0,56,6,3,9,0,0,1,55,6,4,2,0,6,13,24,112,36,100
120221,LC ,Veterinary Medicine ,Professional ,518,80,438,0,416,21,7,55,1,0,13,5,0,10,4,1,30,68,301,217,16,502
120221,LG ,Labor & Empl. Rel. ,Graduate ,246,62,181,3,83,45,24,37,1,0,9,46,1,28,4,0,53,64,138,108,98,148
120221,LL ,School of Social Work ,Graduate ,434,70,362,2,287,15,53,54,1,0,10,13,1,64,7,0,19,117,382,52,222,212
120221,LL ,School of Social Work ,Undergraduate ,256,33,222,1,138,13,33,62,0,0,5,5,0,39,6,1,16,99,246,10,8,248
120221,LN ,Center Innov in Teach Learn ,Graduate ,199,83,115,1,113,13,17,15,0,0,2,10,29,19,0,0,14,33,5,194,189,10
120221,LN ,Center Innov in Teach Learn ,Undergraduate ,91,36,54,1,16,14,7,4,0,0,5,1,44,8,1,0,17,13,0,91,91,0
120221,LP ,School of Information Sciences ,Graduate ,1141,405,727,9,486,45,44,73,1,0,24,460,8,55,11,0,60,129,418,723,360,781
120221,LP ,School of Information Sciences ,Undergraduate ,313,198,115,0,67,114,20,40,0,0,6,62,4,25,1,0,122,61,217,96,8,305
120221,LT ,Carle Illinois Medicine ,Professional ,155,86,69,0,57,64,6,7,1,0,12,0,8,8,6,3,72,22,30,125,3,152
120221,NB ,Provost & VC Acad Affairs ,Undergraduate ,17,4,12,1,5,6,5,0,0,0,0,0,1,5,0,0,6,5,17,0,13,4
